CMPD_CHEMBLID,CANONICAL_SMILES,pKi
CHEMBL3580759,CN1CCN(CC1)C(=O)C[C@H](NC(=O)\C=C\c2cc(Cl)ccc2n3cnnn3)c4nc(c(Cl)[nH]4)c5ccc6NC(=O)C=C(O)c6c5,5.13076828
CHEMBL3781354,NC(=N)c1cccc(c1)N2CC(CO)CN(CC3CCN(Cc4ccccc4)CC3)C2=O,5.13076828
CHEMBL2431604,CCOc1cc(ccc1OC(C)C)C(Nc2ccc3c(N)nccc3c2)C(=O)NS(=O)(=O)c4ccc(N)cc4,5.13076828
CHEMBL92909,COCC1(CC(=NO1)c2cccc(c2)C(=N)N)C(=O)Nc3ccc(cn3)c4ccccc4S(=O)(=O)N,5.13076828
CHEMBL3809352,C[C@@H]1COC(=O)Nc2cccc(CNC(=O)C(Nc3ccc4c(N)nccc4c3)c5ccc1cc5)c2,5.13076828
CHEMBL278612,CN(CC(=O)N[C@@H](CCCCN)C(=O)C(=O)NCc1ccccn1)C(=O)c2ccccc2Sc3ccccc3C#N,5.13076828
CHEMBL421808,Cc1cc(C(=O)Nc2ncc(cn2)c3ccccc3S(=O)(=O)N)n(n1)c4cccc(c4)C(=N)N,5.13076828
CHEMBL109535,CC(C)CC1NCCc2ccc(NC(=O)c3ccc4cc(ccc4c3)C(=N)N)cc12,5.136082623
CHEMBL329127,NC(=N)c1cccc(c1)N2CCCN(C3CCN(Cc4ccccc4)CC3)C2=O,5.13667714
CHEMBL199235,CCOc1cc(cc(c1)c2ccccc2)C(Nc3ccc(cc3)C(=N)N)C(=O)O,5.13667714
CHEMBL390751,NCCCCCCCCCCCCN1CCN(CC1)C(=O)[C@H](CCCNC(=N)N)NS(=O)(=O)c2cccc(c2)C(F)(F)F,5.13667714
CHEMBL321944,COc1ccc2ccc(cc2c1c3cnn(c3)S(=O)(=O)C)C(=N)N,5.148741651
CHEMBL179004,CN[C@H](Cc1ccccc1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc3ccccc3)C(=O)c4nc5ccccc5s4,5.148741651
CHEMBL23246,O=S(=O)(Nc1cccc(OCCNc2ccncc2)c1)c3ccc4ccccc4c3,5.15490196
CHEMBL235268,CNC(=O)c1nn(c2ccc(OC)cc2)c3C(=O)N(CCc13)c4ccc(cc4)c5ccccc5CN6CC[C@@H](O)C6,5.15490196
CHEMBL318363,NC(=N)c1ccc2oc(cc2c1)c3cccc(c3O)c4ccccc4,5.15490196
CHEMBL212577,NCCC1CCN(CC1)C(=O)[C@H](Cc2cccc(c2)C(=N)N)NS(=O)(=O)c3cccc(NC(=O)CN)c3,5.15490196
CHEMBL96494,NC(=N)c1ccc2[nH]c(nc2c1)c3cccc(F)c3O,5.15490196
CHEMBL44521,Cc1cc(NS(=O)(=O)c2ccccc2)cc(OCCCCCCN=C(N)N)c1,5.15490196
CHEMBL111567,NC(=N)c1ccc2cc(ccc2c1)C(=O)Nc3ccc4CNCCc4c3,5.159893906
CHEMBL54093,Cc1cc(C)c(O)c(c1)c2cc3cc(ccc3[nH]2)C(=N)N,5.161150909
CHEMBL2431595,CCOc1cc(ccc1OC(C)C)[C@@H](Nc2ccc3c(N)nccc3c2)C(=O)NS(=O)(=O)c4ccccc4,5.161150909
CHEMBL321895,CC1=CC=C(NS(=O)(=O)Cc2ccccc2)C(=O)N1CC(=O)NCC3CCc4nc(N)ncc4C3,5.161150909
CHEMBL1824552,[O-][N+](=O)c1cccc(\C=C\S(=O)(=O)Nc2cccc(OCc3cn(Cc4cc5ccccc5[nH]4)nn3)c2)c1,5.161780778
CHEMBL596780,CC[C@@H](N)C(=O)N1CCC[C@H]1C(=O)NCc2cccc(Cl)c2,5.166852888
CHEMBL136100,NC(=N)c1ccc2cnn(CC(=O)Nc3ccc(cn3)c4ccccc4S(=O)(=O)N)c2c1,5.167491087
CHEMBL1160793,NC(=N)c1cccc(c1)N2CCCCN(C3CCN(Cc4ccncc4)CC3)C2=O,5.167491087
CHEMBL122765,C[C@H](NC(=O)CNC(=O)Nc1ccc(cc1)C(=N)N)c2ccc(Br)cc2,5.170053304
CHEMBL3114839,CCOc1cc(ccc1OC(C)C)C(Nc2ccc3c(N)nccc3c2)C(=O)NCc4cccc(c4)N(C)C(=O)C,5.173925197
CHEMBL290883,CC1CNc2c(C1)cccc2S(=O)(=O)N[C@@H](Cc3ccccc3)C(=O)N4CCC(CCO)CC4,5.173925197
CHEMBL3594314,CCS(=O)(=O)c1ccc2NC(=O)CCCc3ccc(cc3C)[C@@H](Nc4ccc5c(N)nccc5c4)C(=O)NCc1c2,5.173925197
CHEMBL3114832,COC(=O)Nc1ccc(c(c1)[C@H]2CCCN2C(=O)[C@H](Nc3ccc4c(N)nccc4c3)c5ccc(F)c(OC)c5)S(=O)(=O)C(C)C,5.173925197
CHEMBL551991,Cc1oc2ccc(cc2c1)\N=C(\NC#N)/N[C@H]3CCCCN(CC(=O)N4CCCC4)C3=O,5.180456064
CHEMBL269393,Nc1cc(ccc1Cl)C2=NOC(CNS(=O)(=O)CC(F)(F)F)(C2)C(=O)Nc3ccc(cn3)c4ccccc4S(=O)(=O)N,5.180456064
CHEMBL297961,Cc1cc(Br)c(O)c(c1)c2[nH]c3ccc(cc3c2CCCc4ccccc4)C(=N)N,5.180456064
CHEMBL2016864,NC(=N)c1ccc(CNC(=O)[C@@H]2Cc3ccc(CNC(=O)Cc4ccc(CC(=O)NCc5ccc(C[C@@H](NS(=O)(=O)Cc6ccccc6)C(=O)N2)cc5)cc4)cc3)cc1,5.185752404
CHEMBL2016864,NC(=N)c1ccc(CNC(=O)[C@@H]2Cc3ccc(CNC(=O)Cc4ccc(CC(=O)NCc5ccc(C[C@@H](NS(=O)(=O)Cc6ccccc6)C(=O)N2)cc5)cc4)cc3)cc1,5.185752404
CHEMBL2016864,NC(=N)c1ccc(CNC(=O)[C@@H]2Cc3ccc(CNC(=O)Cc4ccc(CC(=O)NCc5ccc(C[C@@H](NS(=O)(=O)Cc6ccccc6)C(=O)N2)cc5)cc4)cc3)cc1,5.185752404
CHEMBL273903,CC(C)[C@H](NS(=O)(=O)c1cnccc1N[C@H](CO)Cc2ccccc2)C(=O)N3CCC(CCF)CC3,5.186419011
CHEMBL155871,COC(=O)CC(CCc1ccc(cc1)C(=O)N)c2cccc(c2)C(=N)N,5.187086643
CHEMBL140290,Cc1cc(C(=O)Nc2ccc(cc2)c3ccccc3S(=O)(=O)N)n(n1)c4ccc5ccnc(N)c5c4,5.187086643
CHEMBL395773,COC(=O)C(=O)NC(CCc1cccc[n+]1[O-])C(=O)NCC(=O)NCc2cc(Cl)ccc2CN,5.187086643
CHEMBL417348,Cc1cc(NS(=O)(=O)c2ccccc2)cc(OCCCCN)c1,5.187086643
CHEMBL148718,COc1ccc(c(CN)c1)n2nc(cc2C(=O)Nc3ccc(cc3F)c4ccccc4S(=O)(=O)C)C(F)(F)F,5.187086643
CHEMBL162635,NCC1CCC(CNC(=O)C(NC(=O)c2cccc(c2)C(=N)N)c3ccccc3)CC1,5.187086643
CHEMBL108447,CCC1CNCc2ccc(NC(=O)c3ccc4cc(ccc4c3)C(=N)N)cc12,5.191114133
CHEMBL227246,NC(=N)NCCC[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N3CCNCC3,5.193820026
CHEMBL40775,Cc1cc(NS(=O)(=O)c2ccccc2)cc(OCCCCCN=C(N)N)c1,5.193820026
CHEMBL366921,COc1cc([C@@H](Nc2ccc(cc2)C(=N)N)C(=O)N[C@H](C(=O)O)c3ccccc3)c(cc1OCc4ccccc4)C(=O)Cc5ccccc5,5.193820026
CHEMBL3114848,COC(=O)Nc1ccc(c(c1)[C@H]2CCCN2C(=O)[C@H](Nc3ccc4c(N)nccc4c3)c5cccc(OC(F)F)c5)S(=O)(=O)C(C)C,5.193820026
CHEMBL1160812,NC(=N)c1cccc(c1)N2CCCCN(C3CCN(CC3)S(=O)(=O)c4ccc(N)cc4)C2=O,5.200659451
CHEMBL554926,CS(=O)(=O)c1ccccc1c2ccc(NC(=O)c3cc(nn3c4ccc5onc(N)c5c4)C(F)(F)F)c(F)c2,5.200659451
CHEMBL554926,CS(=O)(=O)c1ccccc1c2ccc(NC(=O)c3cc(nn3c4ccc5onc(N)c5c4)C(F)(F)F)c(F)c2,5.200659451
CHEMBL198629,Cc1oc2ccc(N\C(=N\[C@H]3CCCCN(CC(=O)N4CCCC4)C3=O)\C(=C(/O)\OCCCCO)\C#N)cc2c1,5.200659451
CHEMBL487105,Cc1ncc2CN(C3CCN(CC3)C(=O)CCS(=O)(=O)c4ccc5cc(Cl)ccc5c4)C(=O)n12,5.207608311
CHEMBL48233,NC(=N)c1ccc(\C=C\2/CCCC\C(=C/c3ccc(cc3)C(=N)N)\C2=O)cc1,5.207608311
CHEMBL48233,NC(=N)c1ccc(\C=C\2/CCCC\C(=C/c3ccc(cc3)C(=N)N)\C2=O)cc1,5.207608311
CHEMBL268329,Nc1cc(ccc1Cl)C2=NOC(CNS(=O)(=O)Cc3ccccc3)(C2)C(=O)Nc4ccc(cn4)c5ccccc5S(=O)(=O)N,5.207608311
CHEMBL346543,CCOC(=O)CC(CCc1ccc(cc1)C(=N)N)c2ccccc2,5.207608311
CHEMBL2016874,NC(=N)c1ccc(CNC(=O)[C@@H]2Cc3cn(Cc4cccc(Cn5cc(C[C@@H](NS(=O)(=O)Cc6ccccc6)C(=O)N2)nn5)n4)nn3)cc1,5.209363038
CHEMBL445678,NC(=N)c1cccc(c1)C2=NOC(C2)(C(=O)Nc3ccc(cc3)c4ccccc4S(=O)(=O)N)C(F)(F)F,5.214670165
CHEMBL322073,NC(=N)c1cccc(NCCCc2ccc(cc2)c3ccccc3S(=O)(=O)N)c1,5.214670165
CHEMBL176140,CS(=O)(=O)c1ccccc1c2ccc(NC(=O)c3cc(nn3c4cccc(CN)c4)C(F)(F)F)c(F)c2,5.22184875
CHEMBL176140,CS(=O)(=O)c1ccccc1c2ccc(NC(=O)c3cc(nn3c4cccc(CN)c4)C(F)(F)F)c(F)c2,5.22184875
CHEMBL559015,CS(=O)(=O)c1ccccc1c2ccc(NC(=O)c3cc(nn3c4cccc(CN)c4)C(F)(F)F)c(F)c2,5.22184875
CHEMBL134736,Cc1cc(C(=O)Nc2ccc(cc2)c3ccccc3S(=O)(=O)N)n(n1)c4cccc(CN)c4,5.22184875
CHEMBL3115898,NC(=N)c1ccc(CNC(=O)[C@H](Cc2cccc3ccccc23)NC(=O)[C@@H](CC4CCCCC4)NCC(=O)O)cc1,5.22184875
CHEMBL559015,CS(=O)(=O)c1ccccc1c2ccc(NC(=O)c3cc(nn3c4cccc(CN)c4)C(F)(F)F)c(F)c2,5.22184875
CHEMBL2159274,NC(=[NH2+])c1ccc(CNC(=O)[C@@H](Cc2ccccc2)NS(=O)(=O)c3ccc(cc3)C(=[NH2+])N)cc1,5.22184875
CHEMBL366855,COC(=O)CCCN(C1CCN(CC1)C(=N)C)c2ccc3c(c2)nc(C)n3Cc4ccc5ccc(cc5c4)C(=N)N,5.22184875
CHEMBL176140,CS(=O)(=O)c1ccccc1c2ccc(NC(=O)c3cc(nn3c4cccc(CN)c4)C(F)(F)F)c(F)c2,5.22184875
CHEMBL378657,NCCC(=O)Nc1cccc(c1)S(=O)(=O)N[C@@H](Cc2cccc(c2)C(=N)N)C(=O)N3CCC(CCNC(=N)N)CC3,5.22184875
CHEMBL296532,NC(=N)c1cccc(Oc2cc(cc(Oc3cccc(c3)C(=N)N)n2)C(=O)N)c1,5.22184875
CHEMBL156505,NC(=N)c1cccc(c1)c2[nH]c(O)nc2C(=O)Nc3ccc(cc3)c4ccccc4S(=O)(=O)N,5.22184875
CHEMBL176140,CS(=O)(=O)c1ccccc1c2ccc(NC(=O)c3cc(nn3c4cccc(CN)c4)C(F)(F)F)c(F)c2,5.22184875
CHEMBL2373349,Cc1nc(Cc2ccccc2)n(CC(=O)N[C@@H](CCCCN)B3O[C@@H]4C[C@@H]5C[C@@H](C5(C)C)[C@]4(C)O3)n1,5.22184875
CHEMBL378657,NCCC(=O)Nc1cccc(c1)S(=O)(=O)N[C@@H](Cc2cccc(c2)C(=N)N)C(=O)N3CCC(CCNC(=N)N)CC3,5.22184875
